,text,answer_start,q_idx
23480,2개 사단,422,6490879-24-1
23481,골드만삭스,319,6485683-25-0
23482,김대중,49,6485683-25-1
23483,29위,303,6031861-25-0
23484,골드만삭스,319,6031861-25-1
23485,김대중 정부,49,6490879-25-0
23486,골드만삭스,319,6490879-25-1
23487,세계 29위,300,6490879-25-2
23488,포춘지,342,6485683-26-0
23489,자본력,6,6485683-26-1
23490,삼성,258,6031861-26-0
23491,포스코,317,6031861-26-1
23492,17개,362,6031861-26-2
23493,대기업,83,6490879-26-0
23494,수출주도형,140,6490879-26-1
23495,삼성,258,6490879-26-2
23496,1974년,104,6485683-27-0
23497,부산,429,6485683-27-1
23498,1974년,104,6031861-27-0
23499,"1,750원",331,6031861-27-1
23500,무임,659,6031861-27-2
23501,지하철,78,6490879-27-0
23502,19개,208,6490879-27-1
23503,65세,635,6490879-27-2
23504,니트족,91,6485683-28-0
23505,취업 성공 패키지 프로그램,658,6485683-28-1
23506,"행정인턴, 청년인턴 제도",613,6031861-28-0
23507,이명박 정부,641,6031861-28-1
23508,니트족,91,6490879-28-0
23509,청년인턴,493,6490879-28-1
23510,단일민족 국가,23,6490879-29-0
23511,5000만명,251,6490879-29-1
23512,무상의무교육,332,6490879-29-2
23513,다문화가정,136,6485683-30-0
23514,하나 낳아 알뜰살뜰,226,6485683-30-1
23515,다문화가정,136,6031861-30-0
23516,둘만 낳자,195,6031861-30-1
23517,농촌 기피 현상,394,6031861-30-2
23518,다문화가정,136,6490879-30-0
23519,둘만 낳자,195,6490879-30-1
23520,'하나 낳아 알뜰살뜰',225,6490879-30-2
23521,친구사이,252,6485683-31-0
23522,행동하는 성소수자 인권연대,348,6485683-31-1
23523,1992년,156,6031861-31-0
23524,초동회,209,6031861-31-1
23525,대학생동성애자인권연합,303,6031861-31-2
23526,성소수자,26,6490879-31-0
23527,성소수자 인권연대,353,6490879-31-1
23528,2.4%,90,6485683-32-0
23529,린다 마이어스,313,6485683-32-1
23530,10.5%,64,6031861-32-0
23531,17%,140,6031861-32-1
23532,유리천장 지수,39,6490879-32-0
23533,11%,165,6490879-32-1
23534,린다 마이어스,313,6490879-32-2
23535,산업연수생,295,6485683-33-0
23536,55만 명,384,6485683-33-1
23537,산업연수생,295,6031861-33-0
23538,55만 명,384,6031861-33-1
23539,2.2%,404,6031861-33-2
23540,이주 노동자,332,6490879-33-0
23541,55만 명,384,6490879-33-1
23542,고교평준화,61,6490879-33-2
23543,26위,68,6485683-34-0
23544,도시화 현상,207,6485683-34-1
23545,180만 명,143,6031861-34-0
23546,1988년,284,6031861-34-1
23547,48.6%,394,6031861-34-2
23548,1988년,284,6490879-34-0
23549,26위,68,6490879-34-1
23550,훈민정음,70,6485683-35-0
23551,창제 원리,238,6485683-35-1
23552,1446년,83,6031861-35-0
23553,"향찰, 구결, 이두",331,6031861-35-1
23554,한글,255,6031861-35-2
23555,세종대왕,20,6490879-35-0
23556,표음문자,148,6490879-35-1
23557,한글,255,6490879-35-2
23558,조중동,184,6485683-36-0
23559,조선일보,268,6485683-36-1
23560,9.1%,285,6031861-36-0
23561,288종,517,6031861-36-1
23562,"1,040종",622,6031861-36-2
23563,전국지,31,6490879-36-0
23564,지방지,21,6490879-36-1
23565,조중동,184,6490879-36-2
23566,문화방송(MBC),132,6485683-37-0
23567,EBS,312,6485683-37-1
23568,연합뉴스TV,373,6485683-37-2
23569,한국방송공사(KBS),112,6031861-37-0
23570,한국교육방송공사법,283,6031861-37-1
23571,연합뉴스TV와 YTN,373,6031861-37-2
23572,MBC,137,6490879-37-0
23573,SBS,216,6490879-37-1
23574,EBS,312,6490879-37-2
23575,미국,6,6485683-38-0
23576,대한민국,0,6485683-38-1
23577,미국,6,6031861-38-0
23578,대한민국,0,6031861-38-1
23579,대한민국,0,6490879-38-0
23580,인터넷 언론 매체,194,6490879-38-1
23581,서학,30,6485683-39-0
23582,103명,143,6485683-39-1
23583,천주교,8,6490879-39-0
23584,기독교,402,6490879-39-1
23585,개신교,219,6490879-39-2
23586,성리학,225,6485683-40-0
23587,민화,361,6485683-40-1
23588,문인화,250,6031861-40-0
23589,민화,361,6031861-40-1
23590,신석기 시대,19,6490879-40-0
23591,성리학,225,6490879-40-1
23592,백자,255,6490879-40-2
23593,2002년,215,6485683-41-0
23594,2008년,373,6485683-41-1
23595,10회,316,6031861-41-0
23596,우승,388,6031861-41-1
23597,축구,65,6490879-41-0
23598,10회,316,6490879-41-1
23599,야구,155,6490879-41-2
23600,국회 정론관,42,6488117-0-0
23601,드루킹,117,6488117-0-1
23602,느릅나무,139,6488117-0-2
23603,오사카 총영사,198,6264215-0-0
23604,드루킹,117,6264215-0-1
23605,정론관,45,6481130-0-0
23606,드루킹,117,6481130-0-1
23607,14건,82,6488117-1-0
23608,트위터,299,6488117-1-1
23609,텔레그램,56,6488117-1-2
23610,더불어민주당,213,6481130-1-0
23611,문재인,204,6481130-1-1
23612,BASE,9,6555523-0-0
23613,이야기 Op.1,99,6555523-0-1
23614,유리병편지,287,6555523-0-2
23615,BASE,9,6555528-0-0
23616,MBC FM4U 푸른밤,64,6555528-0-1
23617,2017년 4월 24일,155,6555528-0-2
23618,BASE,9,5889725-0-0
23619,2017년 4월 24일,155,5889725-0-1
23620,이틀간,331,5889725-0-2
23621,갈릴레오 갈릴레이,6,6479386-0-0
23622,시몬 마리우스,56,6479386-0-1
23623,가니메데스,122,6479386-0-2
23624,시몬 마리우스,56,6473069-0-0
23625,그리스 신화,81,6473069-0-1
23626,JUICE,283,6473069-0-2
23627,갈릴레오 갈릴레이,6,5782981-0-0
23628,1610년 1월 7일,17,5782981-0-1
23629,가니메데스(Γανυμήδης),122,5782981-0-2
23630,1,319,5782981-1-0
23631,내부의 심한 조석 가열,444,5782981-1-1
23632,43% 정도,14,6479386-2-0
23633,50%~90% 정도,31,6479386-2-1
23634,이산화황,302,6479386-2-2
23635,50%~90%,31,6473069-2-0
23636,"이산화탄소, 이산화황",295,6473069-2-1
23637,43%,14,5782981-2-0
23638,50%~90%,31,5782981-2-1
23639,이산화황,302,5782981-2-2
23640,조석 가열,167,6479386-3-0
23641,방사열,488,6479386-3-1
23642,조석 가열,342,6479386-3-2
23643,가열 기구,25,6473069-3-0
23644,방사열,488,6473069-3-1
23645,방사열,488,5782981-3-0
23646,자연적인 지각 변동,73,5782981-3-1
23647,어두운 지역,29,6479386-4-0
23648,40억 년,171,6479386-4-1
23649,홈이 파인 지형,202,6479386-4-2
23650,어두운 지역,29,6473069-4-0
23651,운석 폭풍,267,6473069-4-1
23652,40억 년,171,5782981-4-0
23653,팰름시스트(Palimpsest),587,5782981-4-1
23654,허블 우주 망원경,96,6479386-5-0
23655,산소 원자 대기광,152,6479386-5-1
23656,산소 대기권,27,6473069-5-0
23657,생명의 증거,351,6473069-5-1
23658,허블 우주 망원경,96,5782981-5-0
23659,극광,580,5782981-5-1
23660,자기 모멘트,99,6479386-6-0
23661,3배,157,6479386-6-1
23662,목성,393,6479386-6-2
23663,자기 모멘트,99,6473069-6-0
23664,목성,393,6473069-6-1
23665,6번,58,5782981-6-0
23666,3배,157,5782981-6-1
23667,O,246,6479386-7-0
23668,전자와 이온,370,6479386-7-1
23669,자기권을 형성,51,6473069-7-0
23670,무거운 이온,425,6473069-7-1
23671,O,246,5782981-7-0
23672,가니메데,89,5782981-7-1
23673,강착,45,6479386-8-0
23674,핵,366,6479386-8-1
23675,가니메데,0,6473069-8-0
23676,칼리스토,427,6473069-8-1
23677,1만년,74,5782981-8-0
23678,칼리스토,108,5782981-8-1
23679,방사성 원소가 붕괴,121,6479386-9-0
23680,규산염 성분,189,6479386-9-1
23681,규산염 성분,189,6473069-9-0
23682,자기장,447,6473069-9-1
23683,규산염,189,5782981-9-0
23684,가니메데,462,5782981-9-1
23685,유럽우주국,45,6479386-10-0
23686,2020년,0,6479386-10-1
23687,2020년,0,6473069-10-0
23688,일본,211,6473069-10-1
23689,가니메데 궤도,439,6473069-10-2
23690,유럽우주국,45,5782981-10-0
23691,아리안 5호,361,5782981-10-1
23692,아메리카 대륙,61,6524001-0-0
23693,지구구체설,114,6524001-0-1
23694,아메리카 대륙,61,6587352-0-0
23695,배제,231,6587352-0-1
23696,아메리카 대륙,61,6541039-0-0
23697,신대륙,184,6541039-0-1
23698,서양지도지식,68,6524001-1-0
23699,서양선교사,8,6524001-1-1
23700,여지전도,110,6587352-1-0
23701,"1850,60년대",159,6587352-1-1
23702,외세에 적절하게 대응,408,6587352-1-2
23703,여지전도,110,6541039-1-0
23704,아편전쟁,201,6541039-1-1
23705,신대륙이 그려진 반구도,30,6524001-2-0
23706,구대륙,50,6524001-2-1
23707,동양인에게는 생소한 신대륙,379,6587352-2-0
23708,양반구도,219,6587352-2-1
23709,마테오리치,142,6541039-2-0
23710,곤여만국전도,286,6541039-2-1
23711,투영법의 문제,185,6524001-3-0
23712,김정호,255,6524001-3-1
23713,김정호,255,6587352-3-0
23714,투영법,185,6587352-3-1
23715,김정호,255,6541039-3-0
23716,지구전도,58,6541039-3-1
23717,지구구체설,6,6524001-4-0
23718,중화적 세계관,99,6524001-4-1
23719,중화적 세계관,99,6587352-4-0
23720,상대적인 것,151,6587352-4-1
23721,지구구체설,196,6541039-4-0
23722,중화적 세계관,99,6541039-4-1
23723,화란,48,6505013-0-0
23724,일반 은총,456,6505013-0-1
23725,하나님,594,6505013-0-2
23726,아브라함 카이퍼,75,6505051-0-0
23727,영역주권,122,6505051-0-1
23728,일반은총,411,6505051-0-2
23729,화란,48,6090188-0-0
23730,화란의 아브라함 카이퍼,71,6090188-0-1
23731,일반 은총,456,6090188-0-2
23732,계발 사상,226,6505013-1-0
23733,낙관적인 문화관,589,6505013-1-1
23734,계발 사상,226,6505051-1-0
23735,변종길,607,6505051-1-1
23736,씨,20,6090188-1-0
23737,계발 사상,226,6090188-1-1
23738,유기체 사상,287,6090188-1-2
23739,두 가지,65,6505013-2-0
23740,피어선,458,6505013-2-1
23741,도예베르트,21,6505051-2-0
23742,형성력,223,6505051-2-1
23743,도예베르트,317,6090188-2-0
23744,문화,256,6090188-2-1
23745,1세기와 2세기인,212,6509111-0-0
23746,예수,5,6509111-0-1
23747,부활절,0,6118203-0-0
23748,3일 째 되는 날,23,6118203-0-1
23749,부활절,0,6603676-0-0
23750,1세기와 2세기,212,6603676-0-1
23751,유월절,96,6509111-1-0
23752,니케아 공의회,234,6509111-1-1
23753,유월절,96,6118203-1-0
23754,니케아 공의회,234,6118203-1-1
23755,음력,69,6603676-1-0
23756,그 다음 주 일요일,351,6603676-1-1
23757,부활절 월요일,336,6509111-2-0
23758,백악관,203,6509111-2-1
23759,Dolly Madison,51,6118203-2-0
23760,부활절 월요일,336,6118203-2-1
23761,Dolly Madison,51,6603676-2-0
23762,국회의사당,80,6603676-2-1
23763,백악관,203,6603676-2-2
23764,서울화양초등학교,5,6569751-0-0
23765,마이클 잭슨,259,6569751-0-1
23766,영신여자고등학교,276,6569751-0-2
23767,서울화양초등학교,5,6569774-0-0
23768,7년,222,6569774-0-1
23769,마이클 잭슨,259,6569774-0-2
23770,서울화양초등학교,5,5934842-0-0
23771,동네 사진관,291,5934842-0-1
23772,1996년,5,6569751-1-0
23773,학교 2,187,6569751-1-1
23774,여자신인상,462,6569751-1-2
23775,1996년,5,6569774-1-0
23776,학교 2,187,6569774-1-1
23777,호러퀸,557,6569774-1-2
23778,학생,41,5934842-1-0
23779,비밀,410,5934842-1-1
23780,호러퀸,557,5934842-1-2
23781,2003년 6월,0,6569751-2-0
23782,이수정,552,6569751-2-1
23783,다모,194,6569751-2-2
23784,홈런,139,6569774-2-0
23785,다모,194,6569774-2-1
23786,발리에서 생긴 일,477,6569774-2-2
23787,홈런,139,5934842-2-0
23788,로맨틱 코미디,665,5934842-2-1
23789,키다리 아저씨,15,6569751-3-0
23790,2006년 10월,181,6569751-3-1
23791,대상,386,6569751-3-2
23792,황진이,206,6569774-3-0
23793,바보,613,6569774-3-1
23794,황진이,206,5934842-3-0
23795,바보,613,5934842-3-1
23796,시크릿 가든,44,6569751-4-0
23797,김은숙,84,6569751-4-1
23798,7광구,455,6569751-4-2
23799,시크릿 가든,44,6569774-4-0
23800,7광구,455,6569774-4-1
23801,시크릿 가든,44,5934842-4-0
23802,7광구,455,5934842-4-1
23803,더킹2Hearts,23,6569751-5-0
23804,코리아,234,6569751-5-1
23805,기황후,304,6569751-5-2
23806,현정화,264,6569774-5-0
23807,대상,479,6569774-5-1
23808,특수부대 교관,48,5934842-5-0
23809,기황후,304,5934842-5-1
23810,임창정,195,6569751-6-0
23811,안병기,315,6569751-6-1
23812,OSEN,90,6569751-6-2
23813,색즉시공,181,6569774-6-0
23814,고양이 알레르기,339,6569774-6-1
23815,카멜레온 같은 배우,121,5934842-6-0
23816,잘 배려하고 그들과 조화를 잘 이루는 인간적인 면,596,5934842-6-1
23817,솔로대첩,0,6463546-0-0
23818,15곳,271,6463546-0-1
23819,2012년,6,6518373-0-0
23820,유태형,52,6518373-0-1
23821,1만 명,398,6518373-0-2
23822,유태형,52,6518390-0-0
23823,님이 연애를 시작하셨습니다,30,6518390-0-1
23824,성추행이나 절도,83,6463546-1-0
23825,여의도공원,133,6463546-1-1
23826,박지선,494,6518373-1-0
23827,여의도공원,133,6518373-1-1
23828,"1,000명",360,6518373-1-2
23829,400명,347,6518390-1-0
23830,"약 3,000명",364,6463546-2-0
23831,박휘순,611,6463546-2-1
23832,해이,847,6463546-2-2
23833,하얀색,124,6518373-2-0
23834,"3,000명",366,6518373-2-1
23835,남성,380,6518373-2-2
23836,하얀색,124,6518390-2-0
23837,남성 700명과 여성 300명,440,6518390-2-1
23838,붉은색,134,6518390-2-2
23839,나폴리,115,6561315-0-0
23840,삼니움인,184,6561315-0-1
23841,로마 공화국,324,6561315-0-2
23842,오스키어,29,6561350-0-0
23843,나폴리,115,6561350-0-1
23844,로마 공화국,324,6561350-0-2
23845,오스키어,29,6464201-0-0
23846,나폴리,115,6464201-0-1
23847,삼니움 전쟁,351,6464201-0-2
23848,쿠리우스 덴타투스,158,6561315-1-0
23849,카르타고,309,6561315-1-1
23850,카푸아 전투,416,6561315-1-2
23851,기원전 4세기,6,6561350-1-0
23852,말레벤툼,129,6561350-1-1
23853,그레코-로만 문화,83,6464201-1-0
23854,카르타고,309,6464201-1-1
23855,굶주림,410,6464201-1-2
23856,나폴리,0,6561315-2-0
23857,티베리우스,162,6561315-2-1
23858,로물루스 아우구스투스,369,6561315-2-2
23859,나폴리,0,6561350-2-0
23860,캄파니아지역,133,6561350-2-1
23861,기독교,209,6561350-2-2
23862,라틴어,29,6464201-2-0
23863,기독교,209,6464201-2-1
23864,베수비오 산,316,6464201-2-2
23865,시칠리아 만종 사건,7,6561315-3-0
23866,샤를 2세,164,6561315-3-1
23867,알폰소 5세,341,6561315-3-2
23868,1281년,0,6561350-3-0
23869,프리드리히 2세,132,6561350-3-1
23870,샤를 2세,164,6561350-3-2
23871,1302년,104,6464201-3-0
23872,나폴리,213,6464201-3-1
23873,르네,324,6464201-3-2
23874,4년,203,6561315-4-0
23875,가릴리아노 전투,217,6561315-4-1
23876,부왕,304,6561315-4-2
23877,1458년,11,6561350-4-0
23878,1501년,142,6561350-4-1
23879,4년,203,6561350-4-2
23880,이베리아 반도,63,6464201-4-0
23881,프랑스,189,6464201-4-1
23882,종교 재판,364,6464201-4-2
23883,어부,135,6561315-5-0
23884,1714년,207,6561315-5-1
23885,카를 6세,279,6561315-5-2
23886,파리,10,6561350-5-0
23887,마사니엘로,138,6561350-5-1
23888,1714년,207,6561350-5-2
23889,카를 6세,279,6464201-5-0
23890,어부,135,6464201-5-1
23891,바로크 시대,40,6464201-5-2
23892,페르디난도 6세,0,6561315-6-0
23893,호라시오 넬슨,51,6561315-6-1
23894,팔레르모,130,6561315-6-2
23895,호라시오 넬슨,51,6561350-6-0
23896,팔레르모,130,6561350-6-1
23897,파르테노페아 공화국,255,6561350-6-2
23898,영국,114,6464201-6-0
23899,파르테노페아 공화국,255,6464201-6-1
23900,1798년,79,6464201-6-2
23901,꽃,102,6561315-7-0
23902,견과류,202,6561315-7-1
23903,150톤,246,6561315-7-2
23904,150톤,246,6561350-7-0
23905,농업,280,6561350-7-1
23906,모차렐라,352,6561350-7-2
23907,식품 산업,0,6464201-7-0
23908,견과류,202,6464201-7-1
23909,150톤,246,6464201-7-2
23910,부활절,40,6561315-8-0
23911,오스트리아,213,6561315-8-1
23912,꿀,367,6561315-8-2
23913,리몬첼로,141,6561350-8-0
23914,바바 케이크,172,6561350-8-1
23915,스폴리아텔레,302,6561350-8-2
23916,파스티에라,33,6464201-8-0
23917,살라미,110,6464201-8-1
23918,스트루폴리,376,6464201-8-2
23919,프랑스,145,6561315-9-0
23920,이스키아 섬,616,6561315-9-1
23921,견과류,741,6561315-9-2
23922,새우,27,6561350-9-0
23923,올리비에 샐러드,107,6561350-9-1
23924,이스키아 섬,616,6561350-9-2
23925,감자,165,6464201-9-0
23926,이스키아 섬,616,6464201-9-1
23927,올리비에 샐러드,107,6464201-9-2
23928,1748년,106,6561315-10-0
23929,샤를 3세,267,6561315-10-1
23930,라이몬도 디 산그로,9,6561315-10-2
23931,라이몬도 디 산그로,9,6561350-10-0
23932,요한 요아힘 빙켈만,91,6561350-10-1
23933,샤를 3세,267,6561350-10-2
23934,연금술사,32,6464201-10-0
23935,괴테,60,6464201-10-1
23936,폼페이,242,6464201-10-2
23937,나폴리,104,6561315-11-0
23938,블라디미르 레닌,129,6561315-11-1
23939,20세기,154,6561315-11-2
23940,엔리코 카루소,95,6561350-11-0
23941,블라디미르 레닌,129,6561350-11-1
23942,나폴리 민요,160,6561350-11-2
23943,카프리,139,6464201-11-0
23944,민요,164,6464201-11-1
23945,안토니 스밍크 피틀로,71,6464201-11-2
23946,고아라,7,5923237-0-0
23947,응답하라 1994,53,5923237-0-1
23948,너희들은 포위됐다,355,5923237-0-2
23949,응답하라 1994,53,6471403-0-0
23950,반올림,106,6471403-0-1
23951,응답하라 1994,53,6471410-0-0
23952,너희들은 포위됐다,355,6471410-0-1
23953,1명이 죽고 2명이 중상,32,6465630-0-0
23954,K9 자주포로 대응사격,567,6465630-0-1
23955,이명박,86,6587498-0-0
23956,K9 자주포,567,6587498-0-1
23957,1명,32,6524066-0-0
23958,다이빙궈,80,6524066-0-1
23959,K9 자주포,567,6524066-0-2
23960,무도·개머리 지역,115,6465630-1-0
23961,4명의 사망자가 발생,401,6465630-1-1
23962,교통호,177,6587498-1-0
23963,교도통신,349,6587498-1-1
23964,교통호,177,6524066-1-0
23965,논밭,288,6524066-1-1
23966,교도통신,349,6524066-1-2
23967,미그-23기,482,6465630-2-0
23968,후계 구도를 더욱 확립,531,6465630-2-1
23969,아사히 신문,221,6587498-2-0
23970,초계비행,504,6587498-2-1
23971,11월 23일,6,6524066-2-0
23972,김정은,180,6524066-2-1
23973,5대,489,6524066-2-2
23974,11월 22일,97,6465630-3-0
23975,천안함 침몰 사건,274,6465630-3-1
23976,우라늄 농축 시설,106,6587498-3-0
23977,북방한계선,236,6587498-3-1
23978,11월 22일,97,6524066-3-0
23979,호국훈련,191,6524066-3-1
23980,서해 북방한계선,233,6524066-3-2
23981,박덕훈,18,6465630-4-0
23982,북방한계선,135,6465630-4-1
23983,유엔대사,12,6587498-4-0
23984,북방한계선,135,6587498-4-1
23985,박덕훈,18,6524066-4-0
23986,어선단속,98,6524066-4-1
23987,조국평화통일위원회,177,6524066-4-2
23988,정전협정,113,6465630-5-0
23989,122mm 방사포,230,6465630-5-1
23990,자위권,146,6587498-5-0
23991,유엔 헌장과 국제법,47,6587498-5-1
23992,유엔 헌장과 국제법,47,6524066-5-0
23993,제2조 4항,105,6524066-5-1
23994,유엔 안전보장이사회,335,6524066-5-2
23995,번개사업,9,6465630-6-0
23996,F-15K 전투기,225,6465630-6-1
23997,이명박 대통령,0,6587498-6-0
23998,번개사업,374,6587498-6-1
23999,번개사업,9,6524066-6-0
24000,전면전 개시,318,6524066-6-1
24001,120 km,388,6524066-6-2
24002,12월 2일,106,6465630-7-0
24003,12월 19일,1071,6465630-7-1
24004,사회복지공동모금회,339,6587498-7-0
24005,12월 2일,106,6587498-7-1
24006,12월 2일,106,6524066-7-0
24007,사회복지공동모금회,339,6524066-7-1
24008,3600만원,836,6524066-7-2
24009,적,202,6465630-8-0
24010,김관진 국방부장관,262,6465630-8-1
24011,야전교범,7,6587498-8-0
24012,국방 백서,229,6587498-8-1
24013,2배,36,6524066-8-0
24014,김태영,76,6524066-8-1
24015,2010년,219,6524066-8-2
24016,미국,235,6465630-9-0
24017,2010년 12월 중순경,0,6465630-9-1
24018,중국,274,6587498-9-0
24019,김문수,773,6587498-9-1
24020,미국,235,6524066-9-0
24021,한나라당,498,6524066-9-1
24022,민주당,569,6524066-9-2
24023,12월 20일,54,6465630-10-0
24024,1974년,358,6465630-10-1
24025,UN 안전보장이사회,27,6587498-10-0
24026,안보리 소집,187,6587498-10-1
24027,러시아,18,6524066-10-0
24028,12월 20일,54,6524066-10-1
24029,중국,122,6524066-10-2
24030,U2,202,6465630-11-0
24031,12월 20일,0,6465630-11-1
24032,세종대왕함,412,6587498-11-0
24033,12월 20일,0,6587498-11-1
24034,오후 2시 30분,8,6524066-11-0
24035,130여발,91,6524066-11-1
24036,U2 정찰기,202,6524066-11-2
24037,1953년,280,6465630-12-0
24038,1970년대,305,6465630-12-1
24039,해안포,44,6587498-12-0
24040,1953년,280,6587498-12-1
24041,해안포,44,6524066-12-0
24042,1953년,280,6524066-12-1
24043,1970년대,305,6524066-12-2
24044,6자 회담,61,6465630-13-0
24045,반기문 UN 사무총장,390,6465630-13-1
24046,2월 9일,753,6587498-13-0
24047,반기문,390,6587498-13-1
24048,일본,163,6524066-13-0
24049,1월 5일,233,6524066-13-1
24050,이회창,429,6524066-13-2
24051,3개월 전,62,6465630-14-0
24052,해안포 부대 사격준비를 하라,413,6465630-14-1
24053,국정원,209,6587498-14-0
24054,13분 후,99,6587498-14-1
24055,13분,99,6524066-14-0
24056,이범관,507,6524066-14-1
24057,최재성,597,6524066-14-2
24058,68.6%,207,6465630-15-0
24059,2010년 11월 30일,0,6465630-15-1
24060,72%,29,6587498-15-0
24061,71% 이상,682,6587498-15-1
24062,11월 30일,6,6524066-15-0
24063,56.6%,178,6524066-15-1
24064,강력한 대북압박,454,6524066-15-2
24065,12월 8일,427,6465630-16-0
24066,2010년 12월 9일,601,6465630-16-1
24067,12월 8일,427,6587498-16-0
24068,23일,493,6587498-16-1
24069,13시,116,6524066-16-0
24070,11월 27일,343,6524066-16-1
24071,12월 8일,427,6524066-16-2
24072,제19대,31,6514710-0-0
24073,13회,123,6514710-0-1
24074,2016년,314,6514710-0-2
24075,부산 사상구,41,6504920-0-0
24076,"손학규, 김두관, 정세균",94,6504920-0-1
24077,상임고문,340,6504920-0-2
24078,2012년,25,6580716-0-0
24079,부산 사상구,41,6580716-0-1
24080,박근혜,171,6580716-0-2
24081,메러디스 빅토리호,189,6514710-1-0
24082,포로수용소,263,6514710-1-1
24083,천주교,528,6514710-1-2
24084,천주교,528,6504920-1-0
24085,1953년 1월 24일,5,6504920-1-1
24086,1953년,5,6580716-1-0
24087,경상남도 거제군,19,6580716-1-1
24088,문용형,50,6580716-1-2
24089,경남중학교,32,6514710-2-0
24090,수석,96,6514710-2-1
24091,경희대학교,387,6514710-2-2
24092,남항초등학교,7,6504920-2-0
24093,경희대학교,387,6504920-2-1
24094,서대문구치소,493,6504920-2-2
24095,남항초등학교,7,6580716-2-0
24096,경남중학교,32,6580716-2-1
24097,경남고등학교,88,6580716-2-2
24098,노무현,52,6514710-3-0
24099,부산,145,6514710-3-1
24100,페스카마호 사건,321,6514710-3-2
24101,조선족,332,6504920-3-0
24102,노무현,52,6504920-3-1
24103,변호사,48,6580716-3-0
24104,1996년,308,6580716-3-1
24105,PK인맥,51,6514710-4-0
24106,이해찬,165,6514710-4-1
24107,이해찬,165,6580716-4-0
24108,이정호,8,6580716-4-1
24109,박근혜,12,6514710-5-0
24110,약 100만 표,320,6514710-5-1
24111,국가정보원,54,6504920-5-0
24112,"14,692,632표",279,6504920-5-1
24113,박근혜,311,6580716-5-0
24114,12월 19일,220,6580716-5-1
24115,안철수,44,6514710-6-0
24116,더불어민주당,408,6514710-6-1
24117,안철수,44,6504920-6-0
24118,더불어민주당,408,6504920-6-1
24119,12월 13일,161,6580716-6-0
24120,더불어민주당,408,6580716-6-1
24121,촛불집회,11,6514710-7-0
24122,최순실,203,6514710-7-1
24123,12월 9일,394,6514710-7-2
24124,12월 9일,394,6504920-7-0
24125,1위,482,6504920-7-1
24126,박근혜,180,6580716-7-0
24127,12월 9일,394,6580716-7-1
24128,제19대,222,6514710-8-0
24129,촛불,288,6514710-8-1
24130,60.4%,145,6504920-8-0
24131,제19대,222,6504920-8-1
24132,제19대,222,6580716-8-0
24133,3월 22일,43,6580716-8-1
24134,5인,105,6514710-9-0
24135,궐위선거,343,6514710-9-1
24136,41.1%,176,6504920-9-0
24137,24%,187,6504920-9-1
24138,홍준표,6,6580716-9-0
24139,안철수,19,6580716-9-1
24140,유승민,32,6580716-9-2
24141,나얼,83,6470307-0-0
24142,택시,175,6470307-0-1
24143,타블로,10,6656680-0-0
24144,나얼,83,6656680-0-1
24145,타블로,10,5780446-0-0
24146,나얼,83,5780446-0-1
24147,택시,127,5780446-0-2
24148,황선업,14,6656680-1-0
24149,이병주,287,6656680-1-1
24150,예상대로 우울,56,5780446-1-0
24151,3.5점,265,5780446-1-1
24152,이병주,287,5780446-1-2
24153,사이먼 도미닉,74,6470307-2-0
24154,쓸쓸한 가사,326,6470307-2-1
24155,3위,54,6489372-0-0
24156,맨체스터 유나이티드,160,6489372-0-1
24157,네덜란드,333,6489372-0-2
24158,3위,54,6489378-0-0
24159,케니 달글리시,234,6489378-0-1
24160,우승,19,6028842-0-0
24161,앨런 시어러,81,6028842-0-1
24162,맨체스터 유나이티드,160,6028842-0-2
24163,글렌 로더,22,6489372-1-0
24164,UEFA 인터토토컵,112,6489372-1-1
24165,11년,346,6489372-1-2
24166,UEFA 인터토토컵,112,6489378-1-0
24167,샘 앨러다이스,217,6489378-1-1
24168,글렌 로더,22,6028842-1-0
24169,7위,52,6028842-1-1
24170,샘 앨러다이스,217,6028842-1-2
24171,수석 코치,43,6489372-2-0
24172,3승,84,6489372-2-1
24173,6년,346,6489372-2-2
24174,존 카버,52,6489378-2-0
24175,앨런 파듀,14,6489378-2-1
24176,파듀,17,6028842-2-0
24177,존 카버,52,6028842-2-1
24178,15위로,93,6028842-2-2
24179,까치,120,6489372-3-0
24180,1988년,269,6489372-3-1
24181,NUFC,189,6489378-3-0
24182,해마,354,6489378-3-1
24183,1976년,11,6028842-3-0
24184,타인사이드,338,6028842-3-1
24185,검은색과 흰색,411,6028842-3-2
24186,회색,319,6489372-4-0
24187,1921년,339,6489372-4-1
24188,검은색,374,6489372-4-2
24189,검은색,98,6489378-4-0
24190,검은색,90,6489378-4-1
24191,흰색,29,6028842-4-0
24192,같은 디비전에 있던 아스널과 리버풀과 혼동을 일으키기 때문에,269,6028842-4-1
24193,검은색,374,6028842-4-2
24194,어웨이 유니폼,35,6489372-5-0
24195,매년,263,6489372-5-1
24196,웨스트 엔드,347,6489372-5-2
24197,웨스트 엔드를,347,6489378-5-0
24198,노란색,126,6489378-5-1
24199,노란색,126,6028842-5-0
24200,흰색,69,6028842-5-1
24201,웨스트 엔드,347,6028842-5-2
24202,푸마,30,6489372-6-0
24203,15년,91,6489372-6-1
24204,푸마,30,6489378-6-0
24205,벅타,15,6489378-6-1
24206,펀88,411,6489378-6-2
24207,푸마,30,6028842-6-0
24208,노던 록,135,6028842-6-1
24209,펀88,411,6028842-6-2
